Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:17,    1694609296847,--Not Acquired--     ,--Not Acquired--     , -1170.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.8977,     0.9772,    181.62,    433.81,   1808.46,    0.7601,    0.0240,      1200,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:18,    1694609298376,--Not Acquired--     ,--Not Acquired--     , -1132.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1668,     0.9839,    192.17,    534.17,   1547.91,    0.6549,    0.1400,      1300,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:20,    1694609299890,--Not Acquired--     ,--Not Acquired--     , -1111.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0411,     0.9868,    210.74,    540.50,   1450.66,    0.6274,    0.3000,      1063,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:21,    1694609301397,--Not Acquired--     ,--Not Acquired--     , -1110.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1619,     0.9868,    212.09,    502.83,   1456.98,    0.6549,    0.3020,      1055,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:23,    1694609302904,--Not Acquired--     ,--Not Acquired--     , -1113.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2002,     0.9871,    210.98,    492.05,   1429.79,    0.6559,    0.3090,      1068,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:24,    1694609304390,--Not Acquired--     ,--Not Acquired--     , -1111.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1021,     0.9880,    216.22,    495.52,   1379.65,    0.6408,    0.3550,      1037,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:26,    1694609305918,--Not Acquired--     ,--Not Acquired--     , -1105.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1052,     0.9886,    218.98,    491.18,   1367.14,    0.6407,    0.3730,      1040,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:27,    1694609307457,--Not Acquired--     ,--Not Acquired--     , -1110.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1245,     0.9884,    217.73,    488.25,   1372.66,    0.6443,    0.3660,      1039,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:29,    1694609308987,--Not Acquired--     ,--Not Acquired--     , -1103.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1151,     0.9883,    217.61,    488.92,   1372.45,    0.6438,    0.3640,      1038,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:30,    1694609310524,--Not Acquired--     ,--Not Acquired--     , -1105.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1114,     0.9884,    217.97,    490.79,   1375.60,    0.6432,    0.3630,      1049,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:32,    1694609312031,--Not Acquired--     ,--Not Acquired--     , -1107.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1201,     0.9884,    217.47,    490.38,   1379.03,    0.6444,    0.3610,      1052,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:33,    1694609313563,--Not Acquired--     ,--Not Acquired--     , -1115.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1143,     0.9884,    217.51,    489.73,   1378.01,    0.6446,    0.3610,      1048,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:35,    1694609315077,--Not Acquired--     ,--Not Acquired--     , -1107.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1127,     0.9884,    218.03,    489.23,   1375.10,    0.6442,    0.3650,      1038,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:36,    1694609316600,--Not Acquired--     ,--Not Acquired--     , -1116.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1066,     0.9885,    218.41,    489.06,   1372.21,    0.6436,    0.3710,      1033,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:38,    1694609318129,--Not Acquired--     ,--Not Acquired--     , -1112.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1048,     0.9885,    219.00,    487.34,   1369.64,    0.6442,    0.3750,      1022,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:39,    1694609319640,--Not Acquired--     ,--Not Acquired--     , -1115.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1026,     0.9885,    219.27,    486.53,   1366.02,    0.6438,    0.3790,      1020,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:41,    1694609321164,--Not Acquired--     ,--Not Acquired--     , -1101.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1094,     0.9887,    219.58,    484.77,   1362.64,    0.6442,    0.3800,      1029,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:42,    1694609322718,--Not Acquired--     ,--Not Acquired--     , -1106.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1089,     0.9888,    219.66,    485.12,   1362.71,    0.6440,    0.3820,      1034,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:44,    1694609324230,--Not Acquired--     ,--Not Acquired--     , -1116.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1067,     0.9887,    219.66,    485.12,   1362.77,    0.6440,    0.3830,      1022,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:45,    1694609325769,--Not Acquired--     ,--Not Acquired--     , -1115.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1082,     0.9888,    220.02,    485.05,   1363.53,    0.6443,    0.3840,      1028,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:47,    1694609327277,--Not Acquired--     ,--Not Acquired--     , -1114.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1075,     0.9887,    219.96,    485.29,   1364.00,    0.6442,    0.3840,      1024,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:48,    1694609328781,--Not Acquired--     ,--Not Acquired--     , -1098.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1091,     0.9888,    219.83,    484.89,   1363.52,    0.6444,    0.3840,      1029,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:50,    1694609330309,--Not Acquired--     ,--Not Acquired--     , -1107.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1047,     0.9887,    220.14,    484.74,   1365.45,    0.6450,    0.3850,      1019,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:52,    1694609331829,--Not Acquired--     ,--Not Acquired--     , -1105.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1033,     0.9887,    220.05,    484.29,   1365.82,    0.6454,    0.3850,      1018,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:53,    1694609333334,--Not Acquired--     ,--Not Acquired--     , -1112.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1004,     0.9887,    220.34,    485.69,   1366.54,    0.6446,    0.3870,      1015,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:55,    1694609334824,--Not Acquired--     ,--Not Acquired--     , -1112.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1044,     0.9888,    220.26,    485.27,   1366.42,    0.6449,    0.3870,      1019,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:56,    1694609336329,--Not Acquired--     ,--Not Acquired--     , -1120.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1059,     0.9888,    220.19,    485.51,   1366.89,    0.6448,    0.3870,      1023,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:58,    1694609337830,--Not Acquired--     ,--Not Acquired--     , -1114.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1025,     0.9888,    220.37,    485.61,   1368.04,    0.6450,    0.3880,      1017,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:48:59,    1694609339326,--Not Acquired--     ,--Not Acquired--     , -1101.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1051,     0.9888,    220.48,    485.23,   1368.41,    0.6454,    0.3880,      1019,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:49:01,    1694609340840,--Not Acquired--     ,--Not Acquired--     , -1102.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1010,     0.9887,    220.61,    485.36,   1370.61,    0.6459,    0.3870,      1011,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:49:02,    1694609342368,--Not Acquired--     ,--Not Acquired--     , -1111.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1029,     0.9887,    220.57,    485.67,   1371.66,    0.6459,    0.3860,      1016,    1.0000,
C:\LIFT\DATA\LOW\Chlorella\DecayRef\20230913_NaOm1671_22C_1S_Ref_data.csv , 2023/09/13, 09:49:04,    1694609343894,--Not Acquired--     ,--Not Acquired--     , -1102.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1009,     0.9887,    220.70,    485.78,   1372.13,    0.6460,    0.3870,      1015,    1.0000,
