Source DataFile                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
---------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:40:53,    1678380053252,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,    88.8877,     0.9558,    271.53,   1019.03,   3217.68,    0.6833,    0.3010,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:40:55,    1678380055684,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.5767,     0.9610,    271.86,   1163.11,   2758.63,    0.5784,    0.3580,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:40:58,    1678380058110,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.1083,     0.9715,    293.79,   1147.74,   2631.86,    0.5639,    0.4310,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:00,    1678380060533,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    37.2319,     0.9677,    289.58,   1086.98,   2854.42,    0.6192,    0.3890,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:03,    1678380062952,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    40.0428,     0.9640,    282.81,   1072.18,   2865.37,    0.6258,    0.3600,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:05,    1678380065373,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    27.8511,     0.9673,    286.83,   1106.73,   2740.45,    0.5962,    0.3910,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:07,    1678380067800,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.1739,     0.9695,    292.22,   1104.15,   2711.42,    0.5928,    0.4060,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:10,    1678380070242,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.2518,     0.9684,    290.86,   1089.20,   2774.52,    0.6074,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:12,    1678380072669,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,    16.3735,     0.9675,    288.79,   1088.04,   2776.58,    0.6081,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:15,    1678380075101,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.6630,     0.9677,    288.77,   1095.63,   2738.05,    0.5999,    0.3910,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:17,    1678380077522,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    27.2933,     0.9688,    291.65,   1095.22,   2738.85,    0.6001,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:20,    1678380079964,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.9686,     0.9684,    290.91,   1091.43,   2754.08,    0.6037,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:22,    1678380082429,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    16.6151,     0.9683,    290.54,   1090.92,   2754.42,    0.6039,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:25,    1678380084855,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    13.7281,     0.9687,    291.13,   1094.53,   2743.24,    0.6010,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:41:27,    1678380087279,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.4429,     0.9688,    291.47,   1094.12,   2742.54,    0.6011,    0.3990,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:09,    1678380189531,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    60.9466,     0.9564,    272.22,   1013.92,   3054.13,    0.6680,    0.3060,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:12,    1678380191961,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,    10.0033,     0.9635,    277.13,   1137.76,   2728.27,    0.5830,    0.3710,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:14,    1678380194395,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.3279,     0.9707,    293.48,   1124.60,   2624.02,    0.5714,    0.4210,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:16,    1678380196819,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,    27.0020,     0.9684,    291.04,   1080.61,   2800.35,    0.6141,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:19,    1678380199239,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    31.8053,     0.9658,    285.86,   1070.30,   2809.89,    0.6191,    0.3750,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:21,    1678380201677,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.3156,     0.9665,    285.76,   1091.74,   2708.36,    0.5969,    0.3840,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:24,    1678380204107,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.0760,     0.9692,    292.10,   1096.55,   2699.96,    0.5939,    0.4030,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:26,    1678380206544,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,    11.6586,     0.9669,    288.42,   1075.60,   2734.12,    0.6066,    0.3820,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:29,    1678380208966,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    18.7971,     0.9671,    288.83,   1079.49,   2747.51,    0.6071,    0.3830,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:31,    1678380211387,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.8915,     0.9682,    290.07,   1087.82,   2720.47,    0.6001,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:33,    1678380213811,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.3220,     0.9682,    290.95,   1088.06,   2718.01,    0.5997,    0.3920,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:36,    1678380216240,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.7303,     0.9684,    291.14,   1086.04,   2733.54,    0.6027,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:38,    1678380218667,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    18.5907,     0.9685,    290.69,   1085.75,   2730.50,    0.6024,    0.3970,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:41,    1678380221104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     7.3500,     0.9673,    288.50,   1080.22,   2707.65,    0.6010,    0.3870,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:43,    1678380223549,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    24.7738,     0.9684,    291.11,   1085.82,   2724.85,    0.6015,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:46,    1678380225975,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.3404,     0.9686,    291.53,   1086.63,   2726.82,    0.6015,    0.3970,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:48,    1678380228400,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.6766,     0.9676,    289.15,   1084.05,   2716.05,    0.6009,    0.3890,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:51,    1678380230836,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    29.0608,     0.9685,    291.33,   1087.07,   2726.55,    0.6013,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:53,    1678380233279,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.6616,     0.9683,    290.51,   1085.53,   2717.54,    0.6005,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:55,    1678380235707,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.7046,     0.9675,    289.92,   1082.65,   2718.12,    0.6017,    0.3860,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:43:58,    1678380238134,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.0438,     0.9673,    289.22,   1080.81,   2714.47,    0.6018,    0.3840,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:00,    1678380240560,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.8477,     0.9677,    290.04,   1083.25,   2716.99,    0.6013,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:03,    1678380242983,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    11.8390,     0.9687,    291.73,   1085.47,   2722.08,    0.6012,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:05,    1678380245417,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    27.6027,     0.9686,    291.60,   1087.34,   2725.65,    0.6011,    0.3960,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:08,    1678380247841,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.4807,     0.9687,    291.72,   1086.03,   2724.30,    0.6014,    0.3970,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:10,    1678380250270,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    25.8570,     0.9688,    291.90,   1088.21,   2725.02,    0.6007,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:12,    1678380252697,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.5051,     0.9687,    292.07,   1086.75,   2724.80,    0.6012,    0.3960,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:15,    1678380255137,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.7800,     0.9681,    290.97,   1085.66,   2721.40,    0.6011,    0.3910,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:17,    1678380257561,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.3515,     0.9688,    291.75,   1085.86,   2722.81,    0.6012,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:20,    1678380259986,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.7676,     0.9685,    291.43,   1088.10,   2727.43,    0.6011,    0.3950,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:22,    1678380262430,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.0405,     0.9679,    290.70,   1085.37,   2722.70,    0.6014,    0.3890,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_2S_data.csv , 2023/03/09, 12:44:25,    1678380264862,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.4284,     0.9677,    289.97,   1083.49,   2716.26,    0.6011,    0.3880,
